Name;Address 1;Address 2;ZIP-Code;City;Country
Accelera Solutions Inc.;201 Miller Street;Level 15;2060;North Sydney;AU
Access411;52 Grumbacher Rd. Ste 1 Dba Access411;;17401;York PA;US
Ace Mentor Program Of Gwma;1401 New York Ave, Nw Suite 900;;20001;Washington DC;US
Ace-Federal Reporter Inc;1120 G Street Nw Suite 500;;20001;Washington DC;US
Adoptions Together Inc;10230 New Hampshire Ave #200;;20901;Silver Spring MD;US
Advanced Medical Waste Soluti;8716 Damascus Rd.;;20872;Damascus MD;US
African Translation Llc;1250 Connecticut Ave. Nw Suite 200;;20001;Washington DC;US
Agrium Advanced Technologies;2915 Rocky Mountain Avenue Suite 400;;80537;Loveland CO;US
Airgas East Inc.;6990 Snowdrift Road;;18101;Allentown PA;US
Allied Telecom Group,Llc;1120 20Th Street Nw Suite 500;;20001;Washington DC;US
Alpine Trading Co Inc.;400 Overpeck Ave;;7631;Englewood NJ;US
Alta Bicycle Share, Inc.;711 Se Grand Avenue;;97201;Portland OR;US
American Arbitration Assoc.;335 Madison Ave 10 Floor;;10001;New York NY;US
American Assn. Of State Highwa;444 North Capitol St Nw;;20001;Washington DC;US
American Express Company;2975 W Corporate Lakes Blvd Cpc Remittance Processing;;33326;Weston FL;US
American Fleet Sales & Svcs;201 Ritchie Road Building C;;20743;Capitol Heights MD;US
American Health & Wellness;25 Professional Way, #101;;24482;Verona VA;US
American Institute Of Cpa'S;220 Leigh Farm Road;;27701;Durham NC;US
American Institutes For Research;1000 Thomas Jefferson St. Nw.;;20001;Washington DC;US
American Legacy Foundation;1724 Massachusetts Ave, Nw;;20001;Washington DC;US
American Library Association;50 East Huron Street;;60602;Chicago IL;US
American Mechanical Svcs Of Md;13300 Mid Atlantic Blvd;;20707;Laurel MD;US
American Supply Company;316 F. St. Ne. 103;;20001;Washington DC;US
Ami Magunia;627 S. Dean Street;;21128;Baltimore MD;US
Amtek Company, Inc.;1244 Ritchie Hwy, Suite 10;;21012;Arnold MD;US
Amy Jacques Garvey Institute, Inc.;4243 Lane Place, Ne;;20001;Washington DC;US
Anacostia Comm. Outreach Ctr;711 24Th St., Ne #119;;20001;Washington DC;US
Anasazi, Software Inc.;9831 S 51St Street Suite -C117;;85003;Phoenix AZ;US
Anchor Construction Corporatio;2254 25Th Place N.E.;;20001;Washington DC;US
Andrew S. Butler;1427 Holbrook Street, Ne, #1;;20001;Washington DC;US
Andrew Shields;339 Virginia Ave Se;;20001;Washington DC;US
Andromeda Transcultural;162-164 Grafton Road;Level 2;;Auckland  ;NZ
Angela Kalargyos;10834 Eastwood Ave;;20901;Silver Spring MD;US
Apple Computer Inc;1 Infinite Loop;;95014;Cupertino CA;US
Apple Computer Inc;1 Infinite Loop;;95014;Cupertino CA;US
Appletree Early Learning Pcs;415 Michigan Avenue, Ne 3Rd Floor;;20001;Washington DC;US
Arent Fox Kintner Plotkin;1050 Connecticut Avenue, Nw;;20001;Washington DC;US
Aruze;1-6-20 Dojima;; 530-0003;Kita-Ku;JP
Aspial Corporation;Suntec Tower Three;8 Temasek;38988;Singapore;SG
Atlas Copco;Berguvsvägen  8;;S-958 22;Luleå;SE
Aventas Group;25 Maiden Lane;Floor No. 4;2;Dublin;IR
Banner Staffing Llc;1025 Connecticut Avenue Nw Suite 211;;20001;Washington DC;US
Barbara Chambers Children Ctr;1470 Irving St., Nw;;20001;Washington DC;US
Barney Neighborhood House;5656 A Third Street Ne;;20001;Washington DC;US
Bedd Group Llc;1744 Taylor Street Nw;;20001;Washington DC;US
Bell Techlogix;8888 Keystone Crossing Suite 1700;;46201;Indianapolis IN;US
Bellevue University;1000 Galvin Road South;;68005;Bellevue NE;US
Bernard W Moffett;1430 Independence Ave Se;;20001;Washington DC;US
Booker T Washington Pcs;1346 Florida Ave., N.W.;;20001;Washington DC;US
Brentworks, Inc.;1776 Eye Street Nw 9Th Floor;;20001;Washington DC;US
Burman Properties Inc;4435 Wisconsin Ave Nw Floor 1;;20001;Washington DC;US
Business Strategy Consultants;9701 Apollo Drive Suite 445;;20774;Largo MD;US
C&E Services, Inc. Of Washington;1224 W Street Se;;20001;Washington DC;US
C&O;7477 Old Alexandria Ferry Road;;20735;Clinton MD;US
C2C Systems Inc;1 Federal Street Enterprise Center;;1040;Springfield MA;US
Cadd Microsystems, Inc.;6359 Walker Lane, Suite 110;;22301;Alexandria VA;US
Calvary Women'S Services;110 Maryland Avenue Ne #103;;20001;Washington DC;US
Cambro Manufacturing;5801 Skylab Road;;92646;Huntington Beach CA;US
Campbell & Company Comm.;2401 Mt. Vernon Avenue Suite B;;22301;Alexandria VA;US
Canon Usa Inc;2110 Washington Boulevard;;22201;Arlington VA;US
Capital City Pcs;3047 15Th Street Nw;;20001;Washington DC;US
Capital Services And Supplies;2804 Douglas Street Ne;;20001;Washington DC;US
Capitol College;11301 Springfield Road;;20707;Laurel MD;US
Capitol Process Services, Inc.;1827 18Th St. Nw;;20001;Washington DC;US
Carahsoft Technology Corporation;12369 Sunrise Valley Drive Suite D-2;;20190;Reston VA;US
Carolyn Abbott;10261 Quiet Pond Terrace;;20115;Burke VA;US
Catholic University Of America;620 Michigan Avenue, Ne;;20001;Washington DC;US
CBA;1003 K Street, N.W. Suite 700;;20001;Washington DC;US
Cengage Learning;5191 Natorp Blvd;;45040;Mason OH;US
Center City Pcs;7 New York Ave Suite 300;;20001;Washington DC;US
Center City Pcs;7 New York Ave Suite 300;;20001;Washington DC;US
Central Parking System Va.;1225 Eye Street,Nw. Suite C-100;;20001;Washington DC;US
Centronia, Inc.;1420 Columbia Road Nw Muticultural Learning Center;;20001;Washington DC;US
Cesar Chavez Pcs;709 12Th Street Se;;20001;Washington DC;US
Ch2M Hill, D.C., P.C.;101 Lambton Quay;Level 11;;Wellington;NZ
Chajana Denharder;3800 14Th St., Nw,;;20001;Washington DC;US
Charles Ryan Associates, Llc;300 Summers Street Suite 1100;;25301;Charleston WV;US
Childrens National Medical Ctr;111 Michigan Ave Nw;;20001;Washington DC;US
Cimatron;3 Hagalim Blv.;;47625;Herzlia;IL
City Dance Ensemble Inc;1111 16Th Street Nw, Suite 300;;20001;Washington DC;US
City Security Consultants, Inc;2010 Kendall Street, Ne;;20001;Washington DC;US
Clean Venture Incorporated;2031 Inverness Avenue;;21128;Baltimore MD;US
Cmts Dc Llc;1101 15Th Street Nw, Ste 206;;20001;Washington DC;US
Coalition For Juvenile Justice;1710 Rhode Island Ave Nw;;20001;Washington DC;US
Cofina;Estrada Da Saúde N. 58;;1756;Lisboa;PT
Columbia Lighthouse For Blind;1825 K Street, Nw Suite 1103;;20001;Washington DC;US
Community Academy Pcs;1351 Nicholson Street Nw;;20001;Washington DC;US
Community Connections;801 Pennsylvania Ave., Se Suite 201;;20001;Washington DC;US
Computer Intelligence Assoc.;8840 Stanford Blvd Suite 1500;;21044;Columbia MD;US
Computerdata Solutions, Llc;913 U Street, Nw;;20001;Washington DC;US
Corp./Wash. Latin School;4715 16Th Street, N.W.;;20001;Washington DC;US
Corp.For Supportive Housing;50 Broadway, 17Th Floor;;10001;New York NY;US
Corrections Corporation Of;10 Burton Hills Blvd America;;37013;Nashville TN;US
Correos;Gran Vía, 1;;28001;Madrid;ES
Craftmaster Hardware Co.;190 Veterans Drive;;7647;Northvale NJ;US
Creative Options & Employment;1441 Mccormick Drive Suite #1020;;20772;Upper Marlboro MD;US
Criswell Cheverolet, Inc.;503 Quince Orchard Road;;20877;Gaithersburg MD;US
Crow Canyon Systems Inc.;565 Lori Drive #71 #71;;94510;Benicia CA;US
CS&D;Garden House;Crowther Way 23;PO31 7PJ;Cowes;GB
Curaxys;Rambla De Cataluña, 23;;8022;Barcelona;ES
D C  Van Lines Moving;4611 Tanglewood Drive;;20781;Hyattsville MD;US
D.H. Lloyd & Assoc. Inc.;1625 K. Street, Nw Suite #400;;20001;Washington DC;US
Danske Bank;Vinbæltet 34;;1734;Kobenhavn;DK
Data Net Systems Corp;1201 - 15Th Street Nw Suite 210;;20001;Washington DC;US
Dc Arts & Humanities Education;1835 14Th Street, Nw;;20001;Washington DC;US
Dc Bilingual Pcs;1420 Columbia Road Nw;;20001;Washington DC;US
Dc Children Youth Investment;1400 16Th Street Nw Suite 500;;20001;Washington DC;US
Dc Choices, Llc;4701 N. Keystone Ave,Suite 150;;46201;Indianapolis IN;US
Dc Line, Inc.;2250 South Dakota Ave, Ne;;20001;Washington DC;US
Dc Scores;1224 M Street Nw, #200;;20001;Washington DC;US
De Lage Landen Fin. Services;43 Rue St. Laurent;;H1J 1C3;Montréal;CA
Deaf Reach;3521 12Th Street Ne;;20001;Washington DC;US
Diane Bradley;1629 K Street, Nw - 300;;20001;Washington DC;US
Different Roads To Learning;37 East 18Th St 10Th Fl;;10001;New York NY;US
Digi Docs Inc Document Mgers;510 Florida Ave Nw;;20001;Washington DC;US
Digital Gap Solutions Inc.;10 G Street Ne, Suite 710;;20001;Washington DC;US
District Of Columbia Agencies;4200 Connecticut Avenue, Nw Cashiers Office Bldg. 39 # 201;;20001;Washington DC;US
District Of Columbia Care Center;4043 Clay Pl., Ne;;20001;Washington DC;US
District Supply Inc.;7702 Georgia Avenue, Nw Suite 200;;20001;Washington DC;US
Diversified Educational System;205 East Washington Street;;20117;Middleburg VA;US
Document Systems Inc;333 Hawaii Avenue, Ne Suite 200;;20001;Washington DC;US
Donald B. Rice Tire Co.;909 Northeast Street;;21701;Frederick MD;US
Dustin Construction, Inc.;2510 Urbana Pike, Suite 201;;21754;Ijamsville MD;US
Dutchmill Caterers;Bank Of China Tower;1 Garden Road;;Central Hong Kong;CN
Dynamix Corporation;9111 Edmonston Road, Suite 100 Suite 100;;20770;Greenbelt MD;US
E&G Dc Co-Op Owner, Llc;1350 Beverly Road Suite 200;;22101;Mclean VA;US
Eagle Management Llc;213 Kennedy Street, Nw;;20001;Washington DC;US
East Coast Ems Associates;1612 A Street, S.E.;;20001;Washington DC;US
East River Family Stregthening;3917 Minnesota Ave, Ne;;20001;Washington DC;US
Educators For Social Respon.;23 Garden Street;;2138;Cambridge MA;US
Edward L. Jackson;12, Berkeley Gardens Blvd;;WX1 6LT;Liverpool;GB
Efforts;4601 Sheriff Road, Ne;;20001;Washington DC;US
Election Systems & Software In;11208 John Galt Blvd.;;68022;Omaha NE;US
Elsie Whitlow Stokes Pcs;199 Great North Road;;;Auckland;NZ
Emsl Analytical, Inc.;107 Haddon Avenue;;8108;Westmont NJ;US
Ethiopian Community Center Inc;7603 Georgia Avenue Nw Suite 100;;20001;Washington DC;US
Euphemia L. Haynes Pcs;3600 Georgia Avenue, Nw;;20001;Washington DC;US
Excel Tree Expert Co.Inc.;7549 Montevideo Road;;20794;Jessup MD;US
F&L Construction Inc.;1512 Good Hope Rd Se;;20001;Washington DC;US
Facilities Technology Group;1110 East 32Nd Street Bldg 2;;78701;Austin TX;US
Fairness Environmental Service;3109 Martin Luther King Jr. Av;;20001;Washington DC;US
Faith Management Consulting;3417 Minnesota Ave, Se;;20001;Washington DC;US
Federal City Recovery Svcs;920 Bellevue St Se Po Box 77281;;20001;Washington DC;US
Flik International;800 Florida Avenue Ne;;20001;Washington DC;US
Florida Drug Screening Inc.;2191 Julian Ave. #2;;32905;Palm Bay FL;US
Follett Educational Services;1433 Internationale Parkway;;60517;Woodridge IL;US
Formost Advanced Creations;1730 17Th Street Ne;;20001;Washington DC;US
Fort Myer Construction Corpora;2237 - 33Rd Street, N.E.;;20001;Washington DC;US
Fortum;Torikatu 38;;90110;Oulu;FI
Fox Systems, Inc.;6263 N. Scottsdale Road Suite 200;;85022;Scottsdale AZ;US
Freeway Construction Llc;1325 18Th Street, Nw Suite 103;;20001;Washington DC;US
Friendship Pcs;120 Q Street, Ne;;20001;Washington DC;US
Gala Hispanic Theater;2437 15Th Street., Nw;;20001;Washington DC;US
Gallaudet University;800 Florida Avenue, N.E.;;20001;Washington DC;US
Gap Solutions Inc;11425 Isaac Newton Sq. South Suite 200;;20190;Reston VA;US
Gcs/Sigal, Llc;3020 Yost Place Ne;;20001;Washington DC;US
General Merchandise Supplies;2221 Adams Place, N.E.;;20001;Washington DC;US
General Services, Inc.;3613 Georgia Avenue, Nw;;20001;Washington DC;US
Gmv;C/ Araquil, 67;;28023;Madrid;ES
Good Technologies,Inc.;4250 Burton Drive;;95050;Santa Clara CA;US
Groom Law Group, Chartered;1701 Pennsylvania Ave, N.W. Suite 1200;;20001;Washington DC;US
Hackett & Family Catering;129 Varnum Street N W;;20001;Washington DC;US
Hancock Software Inc;28 Gilleonard Lane;;1701;Framingham MA;US
Hart Intercivic, Inc.;15500 Wells Port Drive;;78701;Austin TX;US
Harvey W Hottel Inc;18900 Woodfield Road;;20877;Gaithersburg MD;US
Harvey W Hottel Inc;18900 Woodfield Road;;20877;Gaithersburg MD;US
Hawk Contractors;1015 Steven Reid Drive;;20639;Huntingtown MD;US
Hdr Engineering Inc.;8404 Indian Hills Drive;;68022;Omaha NE;US
Henkels And Mccoy Training Services;450 David Drive;;19462;Plymouth Meeting PA;US
Henry Schein, Inc.;135 Duryea Road, Mail Rt.E-255;;11747;Melville NY;US
Hercules Fence Md.;8580 Mission Road;;20794;Jessup MD;US
Hess Construction Co. Inc.;804 West Diamond Avenue Suite 300;;20877;Gaithersburg MD;US
Higher School Publishing Co.;3125 Catrina Lane;;21401;Annapolis MD;US
Hill International Inc.;1225 Eye Street N.W.;;20001;Washington DC;US
Hillcrest Children'S Center;1408 U Street, Nw Ste A;;20001;Washington DC;US
Himmel & Wilson Library Consul;417 East High Street;;53563;Milton WI;US
Hireright, Inc.;5151 California Avenue;;92602;Irvine CA;US
Historic Dupont Circle Mainstr;9 Dupont Circle Nw;;20001;Washington DC;US
History Matters Llc;1502 21St Street Nw;;20001;Washington DC;US
Hi-Tech Solution, Inc.;1300 Pennsylania Ave, Nw Suite 700;;20001;Washington DC;US
Holder Enterprises, Inc.;1949 Vermont Street Nw;;20001;Washington DC;US
Hotel Washington;515 15Th Street Nw;;20001;Washington DC;US
Houghton Mifflin Co Inc;222 Berkeley Street;;2108;Boston MA;US
Howard University Hospital;2041 Georgia Avenue, Nw Suite 2078;;20001;Washington DC;US
Howard University The Learning Academy;2400 6Th Street, Nw Suite 115;;20001;Washington DC;US
Ici Systems;1150 17Th Street Nw Suite 100;;20001;Washington DC;US
Ime Services;1201 Pennsylvania Avenue Nw Suite 300;;20001;Washington DC;US
Infinity Radio Dba/Wlzl Radio;4200 Parliament Place, #300 # 300;;20706;Lanham MD;US
Integrated Design Electronics;1027 45Th Street Ne;;20001;Washington DC;US
Intergraph Corporation;170 Graphics Drive;;35756;Madison AL;US
Jennifer Munson;12305 Sour Cherry Way;;20878;North Potomac MD;US
Jhp, Inc;1526 Pennsylvania Ave., Se;;20001;Washington DC;US
Jtf Business Systems;5568 General Washington Drive A 203;;22301;Alexandria VA;US
Kadcon Corporation;1053 31St Street, Nw;;20001;Washington DC;US
Kamit Institute-Magni Achi,Pcs;100 Peabody Street Nw First Floor;;20001;Washington DC;US
Kappa Youth Development, Inc.;1250 Connecticut Avenue, Nw Suite 200;;20001;Washington DC;US
Kathleen Patrick;124 East Raymond Ave;;22301;Alexandria VA;US
Keanya Carr;1900 Oak St.;;V3F 2K1;Vancouver;CA
Keystone Plus Construction Cor;1600 K Street, N.W. Suite 350;;20001;Washington DC;US
Kipp Dc/Key Academy Pcs;1003 K Street, N.W. Suite 700;;20001;Washington DC;US
