Name;Address 1;Address 2;ZIP-Code;City;Country
Knight Facilities Mgmt, Inc.;5360 Hampton Place;;48601;Saginaw MI;US
Kohler Equipment, Inc.;7021 Annapolis Road;;20784;Landover Hills MD;US
Language,Etc...;2200 California St Nw;;20001;Washington DC;US
Laser Art Inc;2209 Channing Street Ne Po Box 41083;;20001;Washington DC;US
Lawmen Suupply Company, Inc.;35 King George;;WX3 6FW;London;GB
Leftwich & Ludaway;1400 K Street Nw Suite 1000;;20001;Washington DC;US
Liberty Healthcare Corp.;401 E City Avenue #820;;19004;Bala Cynwyd PA;US
Liebert Global Services;610 Executive Campus Drive;;43081;Westerville OH;US
Life Enhancement Svcs, Llc;1328 Southern Avenue, Se Suite 301;;20001;Washington DC;US
Life Skills Center;6200 2Nd St Nw, 3Rd Fl;;20001;Washington DC;US
Longobardi & Associates Dc Llc;1401 14Th Street, Nw Suite 300;;20001;Washington DC;US
Lt Joseph P Kennedy Institute;801 Buchanan Street, Ne;;20001;Washington DC;US
Lucas Holdings, Llc;4900 N Santa Fe Ave;;73107;Okc OK;US
M1 Limited;Bronz Sok.;Bronz Apt. 3/6 Tesvikiye;79903;Singapore;SG
Malcolm L. Wiseman, Jr.;1228 Crittenden Street, Nw;;20001;Washington DC;US
Mamie Preston;3642 13Th Street Nw;;20001;Washington DC;US
Mapfre;C/ Moralzarzal, 86;;28034;Madrid;ES
Marc A. Rigrodsky;171 Edwards St;;4101;Portland ME;US
Marc Parc Parking;1233 20Th Street Nw Ste 104;;20001;Washington DC;US
Marcus Gore;2541 34Th Street., S.E.;;20001;Washington DC;US
Margaret P. Cox;907 6Th Street, Sw #901C;;20001;Washington DC;US
Margarita Calderon & Assoc.Inc;101 West End Avenue Apt. 23A;;10001;New York NY;US
Margie Monroe Dba/3-L Bus;112 56Th Place Se;;20001;Washington DC;US
Margni, Inc.;603 Gallatin Street, Nw;;20001;Washington DC;US
Maria Graciela Steiger;9516 Reach Road;;20854;Potomac MD;US
Mariann E. Schick;2401 Pennsylvania Ave., #8331;;16106;Philadelphia PA;US
Marianne Schuelein;3208 44Th Street, Nw;;20001;Washington DC;US
Marie B Waiters;15780 Mountain Place;;20613;Brandywine MD;US
Marie E. Perkins;10224 Prince Place Unit T4;;20774;Largo MD;US
Marilyn Friend, Inc.;26 Rosebay Lane;;27401;Greensboro NC;US
Marlow Sports, Inc.;7613 Penn Belt Drive;;20747;Forestville MD;US
Maryland Office Interiors;2923 Lord Baltimore Drive;;21128;Baltimore MD;US
Mary'S Ctr Maternal Child Care;2333 Ontario Rd Nw;;20001;Washington DC;US
Matthews Mem. Baptist Church;2616 Martin L. King Jr Ave Se;;20001;Washington DC;US
Mbia;7335 North Palm Bluffs Drive;;93701;Fresno CA;US
Mclean Bus Company;7905 Marlboro Pike;;20747;Forestville MD;US
Medical Supply Systems Inc;3182 Bladensburg Rd. Ne.;;20001;Washington DC;US
Medstar Health, Inc;5565 Sterrett Place, 5Th Floor;;21044;Columbia MD;US
Mee Productions;340 N 12Th Street 5Th Floor;;16106;Philadelphia PA;US
Meeder Consulting Group, Llc;6713 Groveleigh Drive;;21044;Columbia MD;US
Meketa Investment Group;100 Lowder Brook Drive Suite 1100;;2090;Westwood MA;US
Melanie Byrd Chisholm;1829 Bruce Place, Se;;20001;Washington DC;US
Mellmo Inc.;2002 Jimmy Durante Blvd., #124;;92014;Del Mar CA;US
Mentis Technology Solutions;2231 South Poplar St;;80123;Denver CO;US
Mentors, Inc.;1012 14Th Street, Nw Suite 304;;20001;Washington DC;US
Mercer Human Resource Consulti;462 South Fourth Street Suite 1100;;40202;Louisville KY;US
Mercia D. Bowser;1827 Good Hope Road Se Suite A-4;;20001;Washington DC;US
Mergent Inc;5250 77 Center Drive Ste 150;;28202;Charlotte NC;US
Mergent Inc;5250 77 Center Drive Ste 150;;28202;Charlotte NC;US
Meridian Imaging Solutions;5775 General Washington Drive;;22301;Alexandria VA;US
Meridian Public Charter School;1328 Florida Avenue, Nw;;20001;Washington DC;US
Merry C. Hudson;1216 Edgevale Road;;20901;Silver Spring MD;US
Metropolitan Office Products;910 Barnaby St Se # 201;;20001;Washington DC;US
Mi Casa, Inc.;6230 3Rd Street Nw, Suite 2;;20001;Washington DC;US
Michael Robert Kronen;15420 Good Hope Road;;20901;Silver Spring MD;US
Middleton &  Meads Company, In;1900 S Hanover Street;;21128;Baltimore MD;US
Midtown Personnel Inc;900 7Th Street, Nw Suite 725;;20001;Washington DC;US
Midwest Bank Note Co.;50 Pearl Street;;14086;Lancaster NY;US
Millennium Pool And Spa, Llc;8927 Lake Braddock Dr;;20115;Burke VA;US
Mindleaders, Inc.;5500 Glendon Court, Suite 200;;43016;Dublin OH;US
Montepio Geral;Jardim Das Rosas N. 32;;1675;Lisboa;PT
Morgans Inc;900 Rhode Island Avenue Ne;;20001;Washington DC;US
Mtw Distributors Inc;1235 Kenilworth Ave Ne Suite#8;;20001;Washington DC;US
Mtw Distributors Inc;1235 Kenilworth Ave Ne Suite#8;;20001;Washington DC;US
Mvs, Inc.;1401 14Th Street Nw Ste# 200;;20001;Washington DC;US
Nastos Contruction Inc;1421 Kenilworth Ave Ne;;20001;Washington DC;US
Nat Assoc Of State Alcohol & D;808 17Th Street Nw Suite 410;;20001;Washington DC;US
Natacha Kiler;621 Orleans Place Ne;;20001;Washington DC;US
Natalie Tolstoi;5225 Pooks Hill Rd # 1517 South;;20814;Bethesda MD;US
National 4-H Council;7100 Connecticut Avenue;;20815;Chevy Chase MD;US
National Capital Poison Center;3201 New Mexico Ave Suite 310;;20001;Washington DC;US
National Housing Corporation;820 H Street N.E.;;20001;Washington DC;US
Nelva Hernandez;3114 Collard Street;;22301;Alexandria VA;US
Networking For Future, Inc.;1023 15Th St Nw Suite 500;;20001;Washington DC;US
Ngen Llc;1101 Merchantile Lane Suite 100;;20774;Largo MD;US
Nia Community Pcs;Fauntleroy Circus;;EC2 5NT;Manchester;GB
Norix Group Inc;1000 Atlantic Drive;;60185;West Chicago IL;US
Norsk Hydro;Brehmen St. 121;PR 334 Sentrum;N 5804;Bergen;NO
North Capitol Partners,Inc;1935 U Place Se;;20001;Washington DC;US
Novo Nordisk;Smagsloget 45;;8200;Århus;DK
Obverse Corporation, Inc.;Geislweg 14;;5020;Salzburg;AT
On Target Challenge;15312 Spencerville Court Suite 100;;20866;Burtonsville MD;US
Opportunities Industrial Center;3707 Mlk Avenue Se;;20001;Washington DC;US
Oriental Trading Company Inc.;4206 South 108Th Street;;68022;Omaha NE;US
Orion Systems Group, Llc;3900 Jermantown Road Suite 480;;22030;Fairfax VA;US
Orrick Herrington Sutcliffe Lp;666 Fifth Avenue;;10001;New York NY;US
Osim International;106 Linden Road Sandown;2nd Floor;69045;Singapore;SG
Ost, Inc.;1155 15Th Street Nw Suite 600;;20001;Washington DC;US
Overdrive Inc;8555 Sweet Valley Drive Unit N;;44102;Cleveland OH;US
Oxford University Press, Inc;198 Madison Avenue;;10001;New York NY;US
P & D Inc. (Skyland Liquors);2126 Minnesota Avenue Se;;20001;Washington DC;US
P Flanigan And Sons Inc;2444 Lock Raven Road;;21128;Baltimore MD;US
P.C.S. For Student Suppo.Srvs.;1003 K. St. Nw. Suite 405;;20001;Washington DC;US
Padula Construction Co Inc;1445 Pennsylvania Avenue S.E.;;20001;Washington DC;US
Paralegal Inst Of Wash Dc;5101 Winconsin Ave. Nw Business Office;;20001;Washington DC;US
Paramedical Personnel Of Md.;343 Granery Road, Ste. D;;21050;Forest Hill MD;US
Park Southern Neighborhood Cp;800 Southern Avenue Se;;20001;Washington DC;US
Parkside Senior, Lp;730 15Th Street Nw 8Th Floor;;20001;Washington DC;US
Parsons Brinckerhoff;1401 K. Street, Nw. Suite 701;;20001;Washington DC;US
Pathways To Housing Dc, Inc.;101 Q Street Ne Suite G;;20001;Washington DC;US
Patricia Fripp;527 Hugo Street;;94102;San Francisco CA;US
Patrick W Keohane;714 Meramac Lane;;65714;Nixa MO;US
Paul Junior High Pcs;5800 8Th Street Nw;;20001;Washington DC;US
Pembroke West Associates Inc;4435 Wisconsin Ave Nw Suite 210;;20001;Washington DC;US
Pepco Energy Services, Inc;701 Ninth Street, Nw Customer Service;;20001;Washington DC;US
Pepco Inc;1615 Robertson Road;;65270;Moberly MO;US
Pergravis;10012 N. Dale Mabry Hwy Suite 109;;33602;Tampa FL;US
Perry School Community Services Center, Inc.;128 M. Street, Nw Suite 100;;20001;Washington DC;US
Platinum One, Inc.;12138 Central Avenue Suite 939;;20716;Mitchellville MD;US
Post Master;1200 Pennsylvania Ave. Nw;;20001;Washington DC;US
Potomac Creek Assoc Lp;955 L'Enfant Plaza Sw North Building, Suite 1208;;20001;Washington DC;US
Powell Manufacturing Industries;258 35Th Street Ne;;20001;Washington DC;US
Powellhouse Project, Inc.;2634 12Th Street Ne;;20001;Washington DC;US
Precyse Solutions, Inc;1275 Drummers Lane, Ste 200;;19087;Wayne PA;US
Premier Office & Medical Suppl;1020 49Th Street Ne;;20001;Washington DC;US
Prince Construction Company;1111 Good Hope Rd Se;;20001;Washington DC;US
Principal Decision System Int;50 Corporate Park;;92602;Irvine CA;US
Print Mail Communications Inc;7201 Lockport Place;;22079;Lorton VA;US
Proforma Docucom Services Llc;46 Lanoche Court;;14221;Williamsville NY;US
Pro-Typists Inc;3235 P Street, N.W.;;20001;Washington DC;US
Psi Services, Inc;7101 Wisconsin Ave Suite 1400;;20814;Bethesda MD;US
Pulse Advertising;1821 Florida Ave Nw;;20001;Washington DC;US
Pyramid Educational Cons.Inc.;13 Garfield Way;;19702;Newark DE;US
Qas, Ltd.;125 Summer Street Suite 1910;;2108;Boston MA;US
Q-Matic Corporation;95 Underwood Road;;28732;Fletcher NC;US
Quantitative Micro Software;4521 Campus Drive Number 336;;92602;Irvine CA;US
R.S.C.R. - Wv Inc.;1 Dunbar Plaza, Ste 100 P.O. Box 484;;25064;Dunbar WV;US
Raytheon Company;362 Lowell Street;;1810;Andover MA;US
Red Jenkins Ltd;5404 Southport Lane;;22030;Fairfax VA;US
Reel-Scout;31 Duncan St. West End;;4101;South Brisbane;AU
Restl Designers Inc;702 Russell Avenue Suite 400;;20877;Gaithersburg MD;US
Ricoh;2-2-8 Roppongi;;106-0032;Minato-Ku;JP
Ridge Roofing Llc;7 Allen Street;;3150;Glen Waverly;AU
Ridge Roofing Llc;710 Mississippi Avenue S.E.;;20001;Washington DC;US
Ross Professional Services;Rte Des Arsenaux 41 ;;1700;Fribourg;CH
Roy Juarez, Jr;11439 Remsen Street;;78201;San Antonio TX;US
Rr Donnelly;111 South Wacker Drive;;60602;Chicago IL;US
Rsc Electrical & Mechanical Co;6035 Dix Street Ne;;20001;Washington DC;US
Saic, Inc.;1710 Saic Drive Mail Stop 365;;22101;Mclean VA;US
Sampo Group;Keskuskatu 45;;21240;Helsinki;FI
Sanlam;1250 Pretorius Street;;28;Hatfield;ZA
Sanz School Inc;1720 Eye Street Nw Lower Level;;20001;Washington DC;US
Sap Public Services, Inc;1300 Pennsylvania Ave, Ste 600 Ronald Reagan Bldg/Intl Trade;;20001;Washington DC;US
Sasha Bruce Youthwork;741 8Th Street, Se;;20001;Washington DC;US
Scantron Corporation;2020 South 158Th Circle;;68022;Omaha NE;US
Scantron Corporation;2020 South 158Th Circle;;68022;Omaha NE;US
Schneider Electric Buildings;23 Tsawassen Blvd.;;T2F 8M4;Tsawassen;CA
School Improvement Network;8686 South 1300 East;;84070;Sandy UT;US
Scott Buchanan Dba 12 Rounds &;8741 Ashwood Drive;;20743;Capitol Heights MD;US
Scotti And Gerl;216 South Jefferson Street;;24901;Lewisburg WV;US
Second Genesis, Inc.;8611 Second Avenue, Suite #300;;20901;Silver Spring MD;US
Sedc Charter School Inc.;3100 Martin Luther King Av, Se;;20001;Washington DC;US
Selectron Technologies, Inc;7405 Sw Tech Center Dr. Ste 140;;97201;Portland OR;US
Shaw Main Street;1426 9Th Street, Nw;;20001;Washington DC;US
Shred-It Usa, Inc.;850 East Gude Drive Suite H;;20850;Rockville MD;US
Silver Spring Fire Protection,;7389 Washington Blvd. Suite 105;;21075;Elkridge MD;US
Skf;Åkergatan 24;;S-844 67;Bräcke;SE
Sm Department Store;15 Mccallum Street;NatWest Center #13-03;1227 MM;Makati City;PH
Soft Choice Corporation;314 W Superior Street Suite 301;;60602;Chicago IL;US
Softech, Inc;7184 Collingwood Court;;21075;Elkridge MD;US
Spectrum Management, Llc;120 Hanover Sq.;;WA1 1DP;London;GB
Sports4Kids;517 4Th Street;;93601;Oakland CA;US
Strayer University;1133 15Th Street, N.W.;;20001;Washington DC;US
Study Island;3400 Carlisle St Ste 345;;75028;Dallas TX;US
Supretech, Inc.;7600 Georgia Avenue, Nw #Ll;;20001;Washington DC;US
Tac Transport Llc;80 R Street, Sw;;20001;Washington DC;US
Talent Education Arts And Ment;409 Rittenhouse St Nw;;20001;Washington DC;US
Tamah., Llc;1701 Independence Ave Se;;20001;Washington DC;US
The Family Place, Inc;3309 16Th Street., Nw;;20001;Washington DC;US
The Gale Group;27500 Drake Road;;48331;Farmington Hills MI;US
The Hamilton Group;4406 Gault Place Ne;;20001;Washington DC;US
The Malloy Group, Llc.;4216 Evergreen Lane Suite 133;;22003;Annandale VA;US
The Presidio Corporation;7601 Ora Glen Drive Suite 100;;20770;Greenbelt MD;US
The University Of Md;3112 Lee Building Off. Of Res. Admin And Advance;;20740;College Park MD;US
The Workmen'S Clinic;2029 K Street, Nw, # 301;;20001;Washington DC;US
Thewashington Times Llc;3600 Ny Ave Ne;;20001;Washington DC;US
Titus Llc;Arenales 1938 3'A';;;Auckland  ;NZ
Tl Garden & Assoc/Life Saftey;7170 Gary Rd;;20109;Manassas VA;US
Toter Incorporated;841 Meacham Road;;28625;Statesville NC;US
Tournmentone Corp;1200 High Ridge Road;;6092;Stamford CT;US
Tsi Group, Llc;1230 23Rd Street Nw, Suite 601;;20001;Washington DC;US
Turner Construction Company;3865 Wilson Blvd. Suite 300;;22201;Arlington VA;US
Two Rivers Pcs;1227 4Th Street, Ne;;20001;Washington DC;US
Ubi Banca;Via Monte Bianco 34;;10100;Torino;IT
Unipol;Via Ludovico Il Moro 22;;24100;Bergamo;IT
United Chemical Technologies;2731 Bartram Road;;19007;Bristol PA;US
United General Contractor;606 B Rhode Island Avenue, Ne;;20001;Washington DC;US
United Medical Center Foundati;1310 Southern Avenue, S.E.;;20001;Washington DC;US
Upm-Kymmene;Software Engineering Center;SEC Oy;FIN-02271;Espoo;FI
Vested Optimum Community Ser.;8775 M Centre Park Dr. No. 515;;21044;Columbia MD;US
Vidal;C/ Romero, 33;;41101;Sevilla;ES
Viscom Interpreting, Inc;2417 South 26Th Road;;22201;Arlington VA;US
Voxeo Corporation;189 S. Orange Ave. #2050;;32801;Orlando FL;US
Vtb;2 Pobedy Square;;196143;Saint Petersburg;RU
W W Grainger Inc;100 Grainger Parkway;;60045;Lake Forest IL;US
Wash Metro Area Transit Auth;600 5Th Street Nw;;20001;Washington DC;US
Wash. Area Lawyers F/T Arts;901 New York Ave Nw, #P-1;;20001;Washington DC;US
Washington Hospital Center;2000 15Th St N. Suite 600;;22201;Arlington VA;US
Washington Literacy Council;1918 18Th Street Nw Suite B2;;20001;Washington DC;US
Westlink Career Institute, Llc;1325 G Street, Nw Suite 500;;20001;Washington DC;US
Wider Opportunity For Women;1001 Connecticut Ave Nw Suite 930;;20001;Washington DC;US
Wilson Energy Economics;4800 Hampden Lane - Suite 200;;20814;Bethesda MD;US
Wvsa School For Arts;1100 16Th St Nw;;20001;Washington DC;US
Xerox Corporation;100 S. Clinton Avenue Xrx2-40A;;14604;Rochester NY;US
Xerox Corporation;100 S. Clinton Avenue Xrx2-40A;;14604;Rochester NY;US
Young Playwrights Theatre;2437 15Th St Nw;;20001;Washington DC;US
Yug, Inc.;111 South Wacker Drive;;60602;Chicago IL;US
Zamano;8 Johnstown Road;;;Cork;IE
